Poll,Date,Sample,MoE,Booker (D),Trump (R),Spread
EmersonEmerson,2/14 - 2/16,1000 RV,3.3,51,49,Booker +2
PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,47,42,Booker +5
PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,47,39,Booker +8
PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,49,39,Booker +10
PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,46,42,Booker +4
PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,50,40,Booker +10
PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,49,38,Booker +11
PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,47,40,Booker +7
PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,42,39,Booker +3
PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,45,40,Booker +5
PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,43,41,Booker +2
PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,46,39,Booker +7
PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,42,42,Tie 
PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,45,42,Booker +3
