Poll,Date,Sample,MoE,Sanders (D),Trump (R),Spread
EmersonEmerson,2/14 - 2/16,1000 RV,3.3,51,49,Sanders +2
PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,51,41,Sanders +10
PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,49,40,Sanders +9
PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,55,39,Sanders +16
PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,48,44,Sanders +4
CNNCNN,1/14 - 1/18,918 RV,3.8,55,42,Sanders +13
PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,53,40,Sanders +13
PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,53,38,Sanders +15
PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,51,40,Sanders +11
PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,51,38,Sanders +13
PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,52,39,Sanders +13
PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,51,41,Sanders +10
PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,52,39,Sanders +13
PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,50,41,Sanders +9
PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,52,41,Sanders +11
