source,target
2,1
3,1
106,1
106,2
106,3
107,106
108,106
109,106
109,2
5,4
110,111
110,5
111,4
111,5
6,-98
112,-98
113,-98
114,-98
8,7
115,117
116,117
117,7
117,8
118,8
10,9
119,9
119,10
120,119
12,11
121,12
14,13
122,125
123,13
123,14
124,14
125,14
125,13
126,122
126,125
127,13
16,15
128,129
129,16
129,15
130,132
131,17
132,135
133,135
133,17
134,132
135,17
136,18
20,19
137,19
137,20
138,137
22,21
139,22
140,146
141,22
142,146
143,146
144,146
144,21
144,22
145,22
146,22
146,21
147,23
25,24
148,25
149,25
150,26
151,150
29,28
152,28
152,29
31,30
32,30
153,31
153,30
154,157
154,153
155,31
155,30
156,157
156,153
157,31
157,30
158,157
158,153
34,33
159,33
36,35
160,35
160,36
161,160
38,37
162,37
162,38
163,162
164,37
164,38
40,39
165,167
166,40
166,39
167,166
167,40
168,167
168,165
169,40
170,167
171,41
171,173
172,41
173,41
43,42
174,42
174,43
175,174
176,43
45,44
177,45
178,45
179,45
180,45
181,45
182,45
183,44
183,45
47,46
184,47
185,47
186,184
187,184
188,184
49,48
189,49
51,50
190,50
191,50
192,191
192,50
193,190
193,192
193,191
194,190
194,192
194,191
53,52
195,52
195,53
196,195
197,198
198,54
199,198
200,198
201,54
202,54
56,55
203,204
204,56
205,56
206,56
58,57
207,57
208,207
209,207
210,211
211,59
61,60
212,213
213,60
213,61
214,61
63,62
215,216
216,63
217,216
218,216
219,216
65,64
66,64
220,222
220,66
221,66
222,65
223,65
224,66
225,65
225,66
226,65
227,65
228,65
229,66
68,67
230,231
231,67
231,68
70,69
232,69
233,232
71,-98
234,-98
73,72
235,73
236,73
237,73
238,239
238,235
239,73
76,75
240,75
240,74
241,240
242,74
243,75
78,77
245,77
245,78
246,245
247,245
248,245
249,77
80,79
81,79
250,79
250,80
250,81
251,250
252,250
83,82
253,83
254,258
254,84
255,84
256,259
256,254
256,258
257,258
258,84
259,254
260,84
260,258
86,85
261,86
262,85
262,86
263,261
264,261
265,261
266,87
267,266
89,88
90,88
268,89
269,89
269,90
270,90
271,269
271,270
272,269
273,270
274,89
93,91
93,92
275,93
276,93
277,93
278,277
278,276
278,275
279,277
280,93
279,276
279,275
280,93
95,94
281,94
281,95
282,281
283,95
284,96
97,-98
285,-98
99,98
286,98
286,99
287,286
101,100
288,290
289,290
290,100
290,101
291,102
292,291
293,291
293,292
294,291
104,103
295,104
296,295
297,298
298,105
299,298
27,26
300,119
